food_id,food_name,category,subcategory,region,serving_size,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,free_sugar_g,sodium_mg,calcium_mg,iron_mg,vitamin_c_mg,folate_ug,source
IND-0001,Hot tea (Garam Chai),Indian Food,,India,Source basis not specified,16.14,0.39,2.58,0.53,0.0,2.58,3.12,14.2,0.02,0.5,1.8,Indian Food Nutrition dataset provided by user
IND-0002,Instant coffee,Indian Food,,India,Source basis not specified,23.16,0.64,3.65,0.75,0.0,3.62,4.92,20.87,0.06,1.51,5.6,Indian Food Nutrition dataset provided by user
IND-0003,Espreso coffee,Indian Food,,India,Source basis not specified,51.54,1.75,6.62,2.14,0.0,6.53,13.98,58.1,0.15,1.51,5.53,Indian Food Nutrition dataset provided by user
IND-0004,Iced tea,Indian Food,,India,Source basis not specified,10.34,0.03,2.7,0.01,0.0,2.7,0.23,1.18,0.02,5.95,1.28,Indian Food Nutrition dataset provided by user
IND-0005,Raw mango drink (Aam panna),Indian Food,,India,Source basis not specified,35.92,0.16,9.05,0.03,0.61,7.49,79.82,7.08,0.14,45.3,14.05,Indian Food Nutrition dataset provided by user
IND-0006,Fruit Punch (with fresh juices),Indian Food,,India,Source basis not specified,36.12,0.14,9.38,0.03,0.06,9.25,2.63,5.07,0.1,41.44,24.57,Indian Food Nutrition dataset provided by user
IND-0007,Fruit Punch (with squashes),Indian Food,,India,Source basis not specified,23.13,0.07,5.99,0.02,0.17,5.88,2.26,3.3,0.06,15.08,9.13,Indian Food Nutrition dataset provided by user
IND-0008,Lemonade,Indian Food,,India,Source basis not specified,20.8,0.03,5.48,0.01,0.02,5.47,28.52,1.84,0.05,5.27,2.11,Indian Food Nutrition dataset provided by user
IND-0009,Lem-o-gin,Indian Food,,India,Source basis not specified,21.52,0.08,5.55,0.03,0.13,5.38,28.13,2.2,0.09,5.68,2.92,Indian Food Nutrition dataset provided by user
IND-0010,Cumin infused water (Jeere/Zeere ka pani),Indian Food,,India,Source basis not specified,9.09,0.17,1.86,0.11,0.46,1.46,189.6,10.84,0.32,3.61,3.14,Indian Food Nutrition dataset provided by user
IND-0011,Coco pine cooler,Indian Food,,India,Source basis not specified,32.75,0.56,5.72,1.0,0.26,5.52,23.2,17.81,0.13,10.67,12.64,Indian Food Nutrition dataset provided by user
IND-0012,Summer cooler,Indian Food,,India,Source basis not specified,22.43,0.37,5.43,0.04,0.2,5.21,1.57,8.13,0.28,103.5,63.89,Indian Food Nutrition dataset provided by user
IND-0013,Hot cocoa,Indian Food,,India,Source basis not specified,90.1,3.36,9.23,4.56,0.0,9.01,24.2,113.66,0.31,3.62,13.79,Indian Food Nutrition dataset provided by user
IND-0014,Cold coffee with ice cream,Indian Food,,India,Source basis not specified,67.85,1.57,11.24,2.11,0.01,11.18,13.84,53.29,0.12,2.53,9.49,Indian Food Nutrition dataset provided by user
IND-0015,Banana milkshake (Kele milkshake),Indian Food,,India,Source basis not specified,65.31,1.84,9.15,2.37,0.26,7.96,13.61,62.64,0.13,6.84,19.83,Indian Food Nutrition dataset provided by user
IND-0016,Mango milkshake (Aam milkshake),Indian Food,,India,Source basis not specified,56.9,1.73,7.23,2.35,0.26,7.15,13.27,62.33,0.15,20.1,53.68,Indian Food Nutrition dataset provided by user
IND-0017,Pineapple milkshake (Ananas milkshake),Indian Food,,India,Source basis not specified,55.72,1.66,7.62,2.23,0.0,7.6,14.05,59.92,0.11,10.22,17.45,Indian Food Nutrition dataset provided by user
IND-0018,Orange milkshake (Narangi milkshake),Indian Food,,India,Source basis not specified,57.42,1.86,7.11,2.52,0.0,7.08,14.63,67.42,0.11,10.82,16.85,Indian Food Nutrition dataset provided by user
IND-0019,Egg nog,Indian Food,,India,Source basis not specified,97.14,4.78,8.15,5.11,0.02,8.06,40.65,102.13,0.43,4.82,41.91,Indian Food Nutrition dataset provided by user
IND-0020,Sweet Lassi (Meethi lassi),Indian Food,,India,Source basis not specified,35.66,1.29,6.51,0.68,0.0,6.51,18.31,45.65,0.03,1.0,18.0,Indian Food Nutrition dataset provided by user
IND-0021,Lassi (salted),Indian Food,,India,Source basis not specified,18.84,1.35,1.86,0.72,0.02,1.84,65.4,47.78,0.04,1.02,18.07,Indian Food Nutrition dataset provided by user
IND-0022,Cheese and chilli sandwich,Indian Food,,India,Source basis not specified,218.11,6.8,27.4,9.78,2.08,2.38,437.5,113.79,0.99,12.3,16.14,Indian Food Nutrition dataset provided by user
IND-0023,Egg sandwich (Ande ka sandwich),Indian Food,,India,Source basis not specified,285.96,8.69,29.16,15.8,1.88,1.86,461.67,110.13,1.44,0.0,14.92,Indian Food Nutrition dataset provided by user
IND-0024,Cucumber sandwich (Kheere ka sandwich),Indian Food,,India,Source basis not specified,188.6,4.8,25.77,8.0,2.45,1.64,362.64,87.84,1.02,1.53,12.96,Indian Food Nutrition dataset provided by user
IND-0025,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Indian Food,,India,Source basis not specified,257.71,8.2,29.1,12.8,2.33,4.1,571.96,199.73,1.04,3.64,12.08,Indian Food Nutrition dataset provided by user
IND-0026,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Indian Food,,India,Source basis not specified,243.32,7.92,26.92,12.27,1.97,2.85,549.71,191.2,1.0,3.16,12.18,Indian Food Nutrition dataset provided by user
IND-0027,Chicken sandwich,Indian Food,,India,Source basis not specified,253.27,13.12,25.38,11.75,1.64,1.6,389.67,89.56,1.19,0.0,11.1,Indian Food Nutrition dataset provided by user
IND-0028,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Indian Food,,India,Source basis not specified,291.43,9.53,28.54,16.14,4.03,2.82,364.99,94.03,1.58,3.16,22.04,Indian Food Nutrition dataset provided by user
IND-0029,Rainbow sandwich,Indian Food,,India,Source basis not specified,272.75,7.75,34.26,12.54,2.1,4.05,612.49,172.04,1.2,1.01,10.38,Indian Food Nutrition dataset provided by user
IND-0030,Club sandwich,Indian Food,,India,Source basis not specified,235.32,7.31,18.51,15.12,1.81,2.01,461.66,115.68,0.86,6.0,17.42,Indian Food Nutrition dataset provided by user
IND-0031,Vegetarian club sandwich,Indian Food,,India,Source basis not specified,198.33,5.45,19.68,11.33,2.06,2.08,305.36,122.44,0.77,6.0,17.53,Indian Food Nutrition dataset provided by user
IND-0032,Pin wheel sandwich,Indian Food,,India,Source basis not specified,311.52,8.77,14.0,24.93,0.93,1.45,374.39,67.75,1.36,0.0,9.04,Indian Food Nutrition dataset provided by user
IND-0033,Carrot apple sandwich (Gajar aur seb ka sandwich),Indian Food,,India,Source basis not specified,214.11,5.3,29.04,9.12,3.66,5.3,302.88,118.05,1.8,2.7,21.7,Indian Food Nutrition dataset provided by user
