food_id,Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),source
IND-0001,Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,3.12,14.2,0.02,0.5,1.8,Indian Food Nutrition dataset provided by user
IND-0002,Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,4.92,20.87,0.06,1.51,5.6,Indian Food Nutrition dataset provided by user
IND-0003,Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,13.98,58.1,0.15,1.51,5.53,Indian Food Nutrition dataset provided by user
IND-0004,Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.23,1.18,0.02,5.95,1.28,Indian Food Nutrition dataset provided by user
IND-0005,Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,79.82,7.08,0.14,45.3,14.05,Indian Food Nutrition dataset provided by user
IND-0006,Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57,Indian Food Nutrition dataset provided by user
IND-0007,Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13,Indian Food Nutrition dataset provided by user
IND-0008,Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11,Indian Food Nutrition dataset provided by user
IND-0009,Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92,Indian Food Nutrition dataset provided by user
IND-0010,Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14,Indian Food Nutrition dataset provided by user
IND-0011,Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,23.2,17.81,0.13,10.67,12.64,Indian Food Nutrition dataset provided by user
IND-0012,Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,1.57,8.13,0.28,103.5,63.89,Indian Food Nutrition dataset provided by user
IND-0013,Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,24.2,113.66,0.31,3.62,13.79,Indian Food Nutrition dataset provided by user
IND-0014,Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49,Indian Food Nutrition dataset provided by user
IND-0015,Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83,Indian Food Nutrition dataset provided by user
IND-0016,Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68,Indian Food Nutrition dataset provided by user
IND-0017,Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,14.05,59.92,0.11,10.22,17.45,Indian Food Nutrition dataset provided by user
IND-0018,Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,14.63,67.42,0.11,10.82,16.85,Indian Food Nutrition dataset provided by user
IND-0019,Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91,Indian Food Nutrition dataset provided by user
IND-0020,Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,18.31,45.65,0.03,1.0,18.0,Indian Food Nutrition dataset provided by user
IND-0021,Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,65.4,47.78,0.04,1.02,18.07,Indian Food Nutrition dataset provided by user
IND-0022,Cheese and chilli sandwich,218.11,27.4,6.8,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14,Indian Food Nutrition dataset provided by user
IND-0023,Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,461.67,110.13,1.44,0.0,14.92,Indian Food Nutrition dataset provided by user
IND-0024,Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,362.64,87.84,1.02,1.53,12.96,Indian Food Nutrition dataset provided by user
IND-0025,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,571.96,199.73,1.04,3.64,12.08,Indian Food Nutrition dataset provided by user
IND-0026,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,549.71,191.2,1.0,3.16,12.18,Indian Food Nutrition dataset provided by user
IND-0027,Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,389.67,89.56,1.19,0.0,11.1,Indian Food Nutrition dataset provided by user
IND-0028,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,364.99,94.03,1.58,3.16,22.04,Indian Food Nutrition dataset provided by user
IND-0029,Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,612.49,172.04,1.2,1.01,10.38,Indian Food Nutrition dataset provided by user
IND-0030,Club sandwich,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42,Indian Food Nutrition dataset provided by user
IND-0031,Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,305.36,122.44,0.77,6.0,17.53,Indian Food Nutrition dataset provided by user
IND-0032,Pin wheel sandwich,311.52,14.0,8.77,24.93,1.45,0.93,374.39,67.75,1.36,0.0,9.04,Indian Food Nutrition dataset provided by user
IND-0033,Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,5.3,3.66,302.88,118.05,1.8,2.7,21.7,Indian Food Nutrition dataset provided by user
IND-0034,Salami sandwich,255.59,21.54,8.7,15.51,2.0,1.97,662.75,73.54,1.11,1.25,12.65,Indian Food Nutrition dataset provided by user
IND-0035,Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,2.35,342.7,79.53,0.91,12.9,17.05,Indian Food Nutrition dataset provided by user
